1,26.399,26.15,26.39,26.96,27.7,27.83,27.49,27.1,26.79,26.71,26.67,26.63,26.52,28.279,28.45,28.11,27.96,28.41,28.7,28.83,28.71,28.76,28.81,28.85,28.68,28.53,25.572,25.11,26.03,27.08,27.43,26.88,26.01,25.35,24.76,24.75,24.97,25.06,25.26,24.652,24.47,25.94,26.07,24.63,23.45,21.65,20.63,20.31,20.28,20.6,21.58,22.83,-0.144,-0.11,-0.96,-2.09,0.6,0.58,0.83,0.7,1.12,0.38,-0.88,0.81,0.79,-0.2947,-0.61,-1.007,-3.185,0.322,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,4.275,-21.65,-17.6,-9.8,-11.6,-2.4,2,6.4,10,9,3.8,-3.8,-3.8,-24.4,6.6625,10.7,11.6,19.8,23.4,25,32.4,35.6,33.3,31.8,25,17.2,13.3,-4.275,-0.6,2.9,6.7,11.2,14.3,20.5,23.9,22.4,20.4,11,6.3,-7.1,16.6,22.3,32.4,17.3,37.2,74.6,9.8,2,9.6,0,12.1,58.6,36.9,1709.5,37.833333,46.833333,2
4,27.712,27.7,27.83,27.49,27.1,26.79,26.71,26.67,26.63,26.52,26.12,26.16,26.89,28.565,28.41,28.7,28.83,28.71,28.76,28.81,28.85,28.68,28.53,28.15,28.23,28.44,27.566,27.43,26.88,26.01,25.35,24.76,24.75,24.97,25.06,25.26,25.43,25.98,27.09,25.456,24.63,23.45,21.65,20.63,20.31,20.28,20.6,21.58,22.83,24.71,25.74,26.26,0.28,0.6,0.58,0.83,0.7,1.12,0.38,-0.88,0.81,0.79,-0.17,1.07,0.44,0.3032,0.322,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,-0.969,0.044,1.206,5.525,-3.275,-2.4,2,6.4,10,9,3.8,-3.8,-3.8,-24.4,-21,-21.2,-7.8,21.4,23.4,25,32.4,35.6,33.3,31.8,25,17.2,13.3,6.6,11.8,15.6,10.5625,11.2,14.3,20.5,23.9,22.4,20.4,11,6.3,-7.1,-4.9,-2,6.2,56.1125,37.2,74.6,9.8,2,9.6,0,12.1,58.6,36.9,29.9,17.4,56.2,1709.5,37.833333,46.833333,2
4,27.712,27.7,27.83,27.49,27.1,26.79,26.71,26.67,26.63,26.52,26.12,26.16,26.89,28.565,28.41,28.7,28.83,28.71,28.76,28.81,28.85,28.68,28.53,28.15,28.23,28.44,27.566,27.43,26.88,26.01,25.35,24.76,24.75,24.97,25.06,25.26,25.43,25.98,27.09,25.456,24.63,23.45,21.65,20.63,20.31,20.28,20.6,21.58,22.83,24.71,25.74,26.26,0.28,0.6,0.58,0.83,0.7,1.12,0.38,-0.88,0.81,0.79,-0.17,1.07,0.44,0.3032,0.322,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,-0.969,0.044,1.206,2.17,-1.38,-2,6.4,9.2,15.8,13.2,5.6,-2,-2.6,-20,-14.8,-12.4,-0.6,25.68,26.6,29.8,36.8,39,37.6,36.6,29.2,20.6,15.8,11.8,16.6,19.4,14.21,15.1,18.8,25.8,29.3,28,24.1,15,10,-4.3,0.5,3.1,10.4,55.78,19.9,31.1,0.3,0,0.2,0,0.1,78.5,42.1,24,1.1,58.5,1290,37.333333,46.05,2
5,27.868,27.83,27.49,27.1,26.79,26.71,26.67,26.63,26.52,26.12,26.16,26.89,27.71,28.868,28.7,28.83,28.71,28.76,28.81,28.85,28.68,28.53,28.15,28.23,28.44,28.91,27.214,26.88,26.01,25.35,24.76,24.75,24.97,25.06,25.26,25.43,25.98,27.09,27.65,24.301,23.45,21.65,20.63,20.31,20.28,20.6,21.58,22.83,24.71,25.74,26.26,25.56,-0.272,0.58,0.83,0.7,1.12,0.38,-0.88,0.81,0.79,-0.17,1.07,0.44,0.19,-0.011,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,-0.969,0.044,1.206,0.972,2.15,5.1,6.4,9.2,15.8,13.2,5.6,-2,-2.6,-20,-14.8,-12.4,-0.6,-5.8,31.26,29.8,36.8,39,37.6,36.6,29.2,20.6,15.8,11.8,16.6,19.4,26.4,19.63,18.8,25.8,29.3,28,24.1,15,10,-4.3,0.5,3.1,10.4,15.3,30.65,31.1,0.3,0,0.2,0,0.1,78.5,42.1,24,1.1,58.5,26.8,1290,37.333333,46.05,2
11,26.678,26.63,26.52,26.12,26.16,26.89,27.71,28.01,27.68,27.28,26.9,27.03,27.25,28.717,28.68,28.53,28.15,28.23,28.44,28.91,29.16,29.05,29.05,29.11,29.24,29.28,25.039,25.06,25.26,25.43,25.98,27.09,27.65,27.67,27.11,26.3,25.41,25.36,25.72,21.395,21.58,22.83,24.71,25.74,26.26,25.56,25.16,24.32,23.12,22.03,21.47,21.66,-0.012,0.81,0.79,-0.17,1.07,0.44,0.19,-0.8,-0.67,0.21,-2.28,1.72,-0.87,0.446,2.029,1.475,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,1.02,-4.8,-2.6,-20,-14.8,-12.4,-0.6,-5.8,6.4,10.8,15.6,16.8,9.4,2.8,17.66,20.6,15.8,11.8,16.6,19.4,26.4,32,36.6,40.6,38.2,37,26.8,7.15,10,-4.3,0.5,3.1,10.4,15.3,21.3,26.6,29.9,30.5,25.3,14.6,40.58,78.5,42.1,24,1.1,58.5,26.8,30.5,0,5,0.3,7,122.6,1290,37.333333,46.05,2
12,26.511,26.52,26.12,26.16,26.89,27.71,28.01,27.68,27.28,26.9,27.03,27.25,27.52,28.533,28.53,28.15,28.23,28.44,28.91,29.16,29.05,29.05,29.11,29.24,29.28,29.37,25.129,25.26,25.43,25.98,27.09,27.65,27.67,27.11,26.3,25.41,25.36,25.72,26.03,22.667,22.83,24.71,25.74,26.26,25.56,25.16,24.32,23.12,22.03,21.47,21.66,22.39,0.099,0.79,-0.17,1.07,0.44,0.19,-0.8,-0.67,0.21,-2.28,1.72,-0.87,0.58,-0.122,1.475,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,-0.53,0.77,-11.68,-20,-14.8,-12.4,-0.6,-5.8,6.4,10.8,15.6,16.8,9.4,2.8,-4.6,12.74,15.8,11.8,16.6,19.4,26.4,32,36.6,40.6,38.2,37,26.8,17,1.76,-4.3,0.5,3.1,10.4,15.3,21.3,26.6,29.9,30.5,25.3,14.6,7.1,15.2,42.1,24,1.1,58.5,26.8,30.5,0,5,0.3,7,122.6,32.1,1290,37.333333,46.05,2
11,26.678,26.63,26.52,26.12,26.16,26.89,27.71,28.01,27.68,27.28,26.9,27.03,27.25,28.717,28.68,28.53,28.15,28.23,28.44,28.91,29.16,29.05,29.05,29.11,29.24,29.28,25.039,25.06,25.26,25.43,25.98,27.09,27.65,27.67,27.11,26.3,25.41,25.36,25.72,21.395,21.58,22.83,24.71,25.74,26.26,25.56,25.16,24.32,23.12,22.03,21.47,21.66,-0.012,0.81,0.79,-0.17,1.07,0.44,0.19,-0.8,-0.67,0.21,-2.28,1.72,-0.87,0.446,2.029,1.475,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,2.65,-3.68,0.2,-18,-13.6,-12.6,-2,-6,9,11,15.4,15.4,10,2.2,19.4,20.4,15.2,10.6,16.8,20.4,25.4,30.6,36.6,39.8,37.6,35.4,25.4,6.68,8.3,-5.8,-2,1.1,8.4,13.1,19.3,24.2,27.2,28.4,22.9,12.6,22.92,47.4,18,24.3,4.8,38.6,22,53.9,0.1,18.8,1,2.4,82.7,1361,38.066667,46.3,2
5,27.868,27.83,27.49,27.1,26.79,26.71,26.67,26.63,26.52,26.12,26.16,26.89,27.71,28.868,28.7,28.83,28.71,28.76,28.81,28.85,28.68,28.53,28.15,28.23,28.44,28.91,27.214,26.88,26.01,25.35,24.76,24.75,24.97,25.06,25.26,25.43,25.98,27.09,27.65,24.301,23.45,21.65,20.63,20.31,20.28,20.6,21.58,22.83,24.71,25.74,26.26,25.56,-0.272,0.58,0.83,0.7,1.12,0.38,-0.88,0.81,0.79,-0.17,1.07,0.44,0.19,-0.011,0.494,0.549,-0.011,0.154,-0.461,0.263,2.029,1.475,-0.969,0.044,1.206,0.972,2.78,0.78,0.8,4.8,6,6.8,1.4,-4.6,-4.8,-26.6,-24,-20.2,-7.4,-20.4,27.18,25.2,31.8,34.6,33.4,31.8,25.8,16.4,12.2,7.2,14,17.2,22.6,13.29,12.4,17.5,19.7,18.8,17.1,8.8,4.8,-8.8,-5.9,-2.9,4.7,9.5,45.09,43.9,6.1,5,5.2,0.3,1.9,29.6,16,17,4,37,36.7,1682,37.939821,47.536938,2
11,26.678,26.63,26.52,26.12,26.16,26.89,27.71,28.01,27.68,27.28,26.9,27.03,27.25,28.717,28.68,28.53,28.15,28.23,28.44,28.91,29.16,29.05,29.05,29.11,29.24,29.28,25.039,25.06,25.26,25.43,25.98,27.09,27.65,27.67,27.11,26.3,25.41,25.36,25.72,21.395,21.58,22.83,24.71,25.74,26.26,25.56,25.16,24.32,23.12,22.03,21.47,21.66,-0.012,0.81,0.79,-0.17,1.07,0.44,0.19,-0.8,-0.67,0.21,-2.28,1.72,-0.87,0.446,2.029,1.475,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,2.35,-9.78,-4.8,-26.6,-24,-20.2,-7.4,-20.4,1.8,5.4,7,9.6,4.4,-2,17.16,16.4,12.2,7.2,14,17.2,22.6,27.8,33.6,37.2,34.4,33.4,23,3.19,4.8,-8.8,-5.9,-2.9,4.7,9.5,15.1,18.8,21.1,21.9,17.9,8.6,22.99,29.6,16,17,4,37,36.7,30.9,15.5,12.7,6.2,21.3,74.6,1682,37.939821,47.536938,2
12,26.511,26.52,26.12,26.16,26.89,27.71,28.01,27.68,27.28,26.9,27.03,27.25,27.52,28.533,28.53,28.15,28.23,28.44,28.91,29.16,29.05,29.05,29.11,29.24,29.28,29.37,25.129,25.26,25.43,25.98,27.09,27.65,27.67,27.11,26.3,25.41,25.36,25.72,26.03,22.667,22.83,24.71,25.74,26.26,25.56,25.16,24.32,23.12,22.03,21.47,21.66,22.39,0.099,0.79,-0.17,1.07,0.44,0.19,-0.8,-0.67,0.21,-2.28,1.72,-0.87,0.58,-0.122,1.475,-0.969,0.044,1.206,0.972,0.464,-0.507,-0.489,-0.372,0.102,-1.134,-0.53,2.58,-9,-14.8,-12.4,-14.6,-3.6,-5.6,9.8,11.2,15.8,16.4,12.6,0.4,-2.8,10.58,12.8,9.6,15.2,16.6,23,28.8,34,38.2,35.2,33.4,23.8,14.4,0.07,-6.1,-2,0.6,7.3,12.2,17.9,22.4,25.4,26.5,21.8,11.6,4.8,15.11,22.5,14.1,4,39.1,16.2,25.4,3.1,2.8,0,4.4,87.2,23.3,1641,37.944722,46.121667,2
